timestamp,best_bid,best_ask,bid_ask_spread,mid_price,bid_order_count,bid_volume_sum,bid_price_mean,bid_price_std,bid_penny_count,bid_penny_ratio,ask_order_count,ask_volume_sum,ask_price_mean,ask_price_std,ask_penny_count,ask_penny_ratio,cluster,pca_one,pca_two
1970-01-01 00:00:00.000000000,2005.0,1971.0,-34.0,1988.0,4,88.0,1993.25,17.075811352124173,0,0.0,3,87.0,1993.0,19.157244060668017,0,0.0,0,-1.2831982634499939,-1.6454004474285036
1970-01-01 00:00:00.000000100,2004.0,1971.0,-33.0,1987.5,5,90.0,1987.4,17.868967513541488,0,0.0,3,75.0,1993.0,19.28730152198591,0,0.0,0,-1.3278737963115552,-2.208701207852808
1970-01-01 00:00:00.000000200,2003.0,1969.0,-34.0,1986.0,4,75.0,1982.75,20.072784228070304,0,0.0,4,73.0,1994.0,16.872067646458373,0,0.0,0,-1.3991494074846074,-1.3466234141031777
1970-01-01 00:00:00.000000300,2003.0,1968.0,-35.0,1985.5,3,83.0,1988.3333333333333,20.428737928059384,0,0.0,3,83.0,1991.3333333333333,20.428737928059384,0,0.0,0,-1.3205474384992977,-1.2158757757822165
1970-01-01 00:00:00.000000400,2004.0,1968.0,-36.0,1986.0,3,72.0,1988.6666666666667,20.033305601755657,0,0.0,4,78.0,1986.0,20.412414523193185,1,0.1111111111111111,2,-1.6088100585496072,1.1855300681419663
1970-01-01 00:00:00.000000500,2004.0,1970.0,-34.0,1987.0,4,85.0,1991.5,17.253019059476735,0,0.0,3,84.0,1992.3333333333333,19.655363983740724,0,0.0,0,-1.3095331801750532,-1.6402815468244631
1970-01-01 00:00:00.000000600,2006.0,1968.0,-38.0,1987.0,5,92.0,1995.4,17.35799527595279,1,0.1111111111111111,3,81.0,1992.3333333333333,21.36195996001612,0,0.0,0,-1.2419038818749804,-4.151134756945389
1970-01-01 00:00:00.000000700,2006.0,1970.0,-36.0,1988.0,4,85.0,1994.25,18.42778698958,1,0.1111111111111111,3,78.0,1993.6666666666667,20.79262689833429,0,0.0,0,-1.2519684046457726,-3.832237449729342
1970-01-01 00:00:00.000000800,2005.0,1970.0,-35.0,1987.5,4,80.0,1993.25,17.67059704707227,0,0.0,4,79.0,1997.5,18.52025917745215,0,0.0,0,-1.2525700073171306,-1.4522677317467845
1970-01-01 00:00:00.000000900,2005.0,1970.0,-35.0,1987.5,4,84.0,1992.0,17.60681686165901,0,0.0,3,82.0,1993.0,20.223748416156685,0,0.0,0,-1.2697208515317786,-1.6938213171528482
1970-01-01 00:00:00.000001000,2005.0,1970.0,-35.0,1987.5,3,78.0,1990.3333333333333,20.428737928059384,0,0.0,5,92.0,1997.8,15.896540504147456,0,0.0,0,-1.3146403120751873,-0.4033547543236758
1970-01-01 00:00:00.000001100,2007.0,1971.0,-36.0,1989.0,4,88.0,1995.0,18.348478592697163,1,0.1111111111111111,5,80.0,1998.6,15.946786510140557,0,0.0,0,-1.2762610866691815,-3.2129530336368237
1970-01-01 00:00:00.000001200,2006.0,1971.0,-35.0,1988.5,3,87.0,1990.6666666666667,20.033305601755657,0,0.0,4,87.0,1997.5,17.935068069752823,0,0.0,0,-1.2558921740106832,-0.9686402002710126
