day_label,timestamp,mid_price,bid_price_1,ask_price_1,bid_ask_spread,rolling_volatility,momentum
-2,0,2000.0,1998,2002,4,,
-2,100,2001.0,2000,2002,2,0.7071067811865476,
-2,200,2000.5,1999,2002,3,0.5,
-2,300,2000.5,1999,2002,3,0.408248290463863,0.5
-2,400,2000.5,1999,2002,3,0.3535533905932738,-0.5
-2,500,2001.5,2001,2002,1,0.4472135954999691,1.0
-2,600,2000.5,1999,2002,3,0.4472135954999691,0.0
-2,700,2000.5,1999,2002,3,0.4472135954999691,0.0
-2,800,2001.5,2001,2002,1,0.5477225575051571,0.0
-2,900,2001.0,2000,2002,2,0.4999999999999787,0.5
-2,1000,2000.0,1999,2001,2,0.570087712549559,-0.5
-2,1100,2000.0,1999,2001,2,0.6519202405202409,-1.5
-2,1200,2000.5,1999,2002,3,0.6519202405202409,-0.5
-2,1300,2001.0,2000,2002,2,0.49999999999994316,1.0
-2,1400,2000.0,1999,2001,2,0.4472135954998896,0.0
-2,1500,2000.5,1999,2002,3,0.41833001326696645,0.0
-2,1600,2000.5,1999,2002,3,0.35355339059317326,-0.5
-2,1700,2000.0,1999,2001,2,0.41833001326696645,0.0
-2,1800,2000.0,1999,2001,2,0.27386127875251043,-0.5
-2,1900,2001.5,2001,2002,1,0.6123724356957597,1.0
-2,2000,2000.0,1999,2001,2,0.6519202405202409,0.0
-2,2100,2001.0,2000,2002,2,0.7071067811865275,1.0
-2,2200,2000.5,1999,2002,3,0.6519202405202409,-1.0
-2,2300,2000.5,1999,2002,3,0.570087712549559,0.5
-2,2400,2000.5,1999,2002,3,0.3535533905932738,-0.5
-2,2500,2000.5,1999,2002,3,0.2236067977499726,0.0
-2,2600,2000.5,1999,2002,3,0.0,0.0
-2,2700,1999.0,1998,2000,2,0.670820393249939,-1.5
-2,2800,2000.0,1998,2002,4,0.6519202405202681,-0.5
-2,2900,2000.0,1998,2002,4,0.6123724356957887,-0.5
-2,3000,2000.0,1998,2002,4,0.5477225575051571,1.0
-2,3100,2001.5,2001,2002,1,0.8944271909999421,1.5
-2,3200,2000.0,1998,2002,4,0.670820393249992,0.0
-2,3300,2000.5,1999,2002,3,0.6519202405203226,0.5
