day_label,timestamp,mid_price,bid_price_1,ask_price_1,bid_ask_spread,rolling_volatility,momentum,step_change
-2,0,2000.0,1998,2002,4,,,
-2,100,2000.0,1999,2001,2,0.0,,0.0
-2,200,1998.5,1997,2000,3,0.8660254037844386,,1.5
-2,300,1998.5,1997,2000,3,0.8660254037844386,-1.5,0.0
-2,400,1998.0,1996,2000,4,0.9354143466934853,-2.0,0.5
-2,500,1999.5,1999,2000,1,0.8215838362577388,1.0,1.5
-2,600,1999.0,1997,2001,4,0.5700877125495777,0.5,0.5
-2,700,2000.5,1999,2002,3,0.9617692030835916,2.5,1.5
-2,800,2002.5,2002,2003,1,1.710263137648704,3.0,2.0
-2,900,2000.0,1999,2001,2,1.3509256086106043,1.0,2.5
-2,1000,2000.0,1999,2001,2,1.294217910554461,-0.5,0.0
-2,1100,2000.0,1999,2001,2,1.0839741694338927,-2.5,0.0
-2,1200,2000.0,1998,2002,4,1.1180339887498503,0.0,0.0
-2,1300,2000.0,1999,2001,2,0.0,0.0,0.0
-2,1400,1997.0,1996,1998,2,1.341640786499862,-3.0,3.0
-2,1500,1998.5,1997,2000,3,1.341640786499862,-1.5,1.5
-2,1600,1999.0,1997,2001,4,1.2449899597988492,-1.0,0.5
-2,1700,1999.0,1998,2000,2,1.0954451150103173,2.0,0.0
-2,1800,1998.0,1997,1999,2,0.8366600265340645,-0.5,1.0
-2,1900,2001.5,2001,2002,1,1.3509256086106176,2.5,3.5
-2,2000,2000.0,1999,2001,2,1.3228756555322791,1.0,1.5
-2,2100,2001.5,2001,2002,1,1.5411035007422302,3.5,1.5
-2,2200,2000.5,1999,2002,3,1.4404860290887795,-1.0,1.0
-2,2300,1999.5,1998,2001,3,0.8944271909998944,-0.5,1.0
-2,2400,2000.5,1999,2002,3,0.7416198487095212,-1.0,1.0
-2,2500,2001.0,1999,2003,4,0.7416198487095212,0.5,0.5
-2,2600,2001.5,2000,2003,3,0.7416198487095212,2.0,0.5
-2,2700,2001.0,2000,2002,2,0.75828754440511,0.5,0.5
-2,2800,2001.5,2000,2003,3,0.41833001326694946,0.5,0.5
-2,2900,2002.5,2001,2004,3,0.6123724356957481,1.0,1.0
-2,3000,2002.5,2001,2004,3,0.670820393249902,1.5,0.0
-2,3100,2002.5,2002,2003,1,0.7071067811865174,1.0,0.0
-2,3200,2000.5,1999,2002,3,0.8944271909999143,-2.0,2.0
-2,3300,2000.5,1999,2002,3,1.0954451150103335,-2.0,0.0
-2,3400,2001.5,2000,2003,3,1.000000000000007,-1.0,1.0
